id,sabor_pizza,instante_pedido,tempo_preparo
71669,Margherita,3,10
68278,Quatro Queijos,4,22
80299,Margherita,11,18
48899,Portuguesa,15,27
96358,Quatro Queijos,16,17
55825,Calabresa,17,25
79547,Portuguesa,17,13
77472,Margherita,20,22
10898,Portuguesa,24,29
85492,Portuguesa,26,12
35062,Vegetariana,28,16
72883,Quatro Queijos,29,14
98201,Quatro Queijos,32,28
58616,Vegetariana,35,10
66576,Margherita,43,26
42985,Pepperoni,51,16
65944,Portuguesa,55,13
77068,Quatro Queijos,59,16
48952,Vegetariana,61,17
97892,Frango com Catupiry,67,30
57610,Quatro Queijos,69,12
55105,Quatro Queijos,70,21
15234,Calabresa,72,29
57969,Margherita,75,15
44130,Calabresa,75,26
88115,Quatro Queijos,77,25
97570,Pepperoni,78,19
49998,Calabresa,81,22
45819,Margherita,93,30
61257,Margherita,93,16
